databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	player	cost	mu	keywords	stat	text	flavor	rarity	number
1c023752-448e-4c3a-8842-556a0956081d	Badtimes	netrunner-1996/classic/Netrunner1996-Classic-Badtimes.jpg	default	Operation	Classic	Classic	playerNDeck	corp	4	0	Virus	0	Play only if Runner is tagged. Runner's MU is reduced by 2 until end of turn.	"They always think it's a hoax."	Common	1
426f2c05-9db5-4350-b28c-cdb43e9d0b93	Baskerville	netrunner-1996/classic/Netrunner1996-Classic-Baskerville.jpg	default	Ice	Classic	Classic	playerNDeck	corp	10	0	Sentry-AP-Hellhound-Sleepy	4	@ Do 2 Net damage. @ Trace5– If trace is successful, give Runner a Baskerville counter. Each counter does 2 Net damage at the start of each run. Runner may remove a Baskerville counter by taking an action to spend [3]. @ End the run. If Runner has used a noisy icebreaker during this run, the cost to rez Baskerville is reduced by [5].		Rare	2
f6993313-8b94-440a-9bf5-3cf5bbec7b6f	Bolter Swarm	netrunner-1996/classic/Netrunner1996-Classic-BolterSwarm.jpg	default	Ice	Classic	Classic	playerNDeck	corp	8	0	Sentry-AP-Hellbolt-Sleepy	4	@ Do 4 Net damage. @ Runner cannot break any subroutines on the next piece of ice encountered during this run. If Runner has used a noisy icebreaker during this run, the cost to rez Bolter Swarm is reduced by [5].		Common	3
921c6c1c-e838-4b9d-8ef1-f711fb921c43	Brain Drain	netrunner-1996/classic/Netrunner1996-Classic-BrainDrain.jpg	default	Ice	Classic	Classic	playerNDeck	corp	3	0	Sentry-Black Ice-AP	3	@ Roll a die. On a 1, do 3 brain damage.	"Weefs never look 'up.'" -Edger	Rare	4
0cab80e4-a06d-409c-89b4-c96490783fb7	Corporate Shuffle	netrunner-1996/classic/Netrunner1996-Classic-CorporateShuffle.jpg	default	Operation	Classic	Classic	playerNDeck	corp	0	0	Double	0	Draw five cards, then shuffle a card stored in HQ into R&D. (Playing a double operation costs two consecutive actions this turn instead of one.)	"It's a shell game for the shareholders."	Common	5
797b3eb1-8a28-4a5a-a10c-ec84790f99ff	Data Fort Remapping	netrunner-1996/classic/Netrunner1996-Classic-DataFortRemapping.jpg	default	Agenda	Classic	Classic	playerNDeck	corp	4	0	Gray Ops	2	Put a Remap counter on Data Fort Remapping when you score it. Remap Counter: End a run.	"In netspace, the map is often the territory. That's just one more reason we don't hire philosopy grads." -Dave Michaels	Common	6
1e75ce69-610a-4914-9ce6-6ca59c70359d	Deadeye	netrunner-1996/classic/Netrunner1996-Classic-Deadeye.jpg	default	Ice	Classic	Classic	playerNDeck	corp	5	0	Sentry-Killer-Sleepy	0	@ Trash a program. @ End the run. If Runner has used a noisy icebreaker during this run, the cost to rez Deadeye is reduced by [5].	Wakes up shooting at the drop of a hat	Common	7
3d99ea9e-c942-4a7d-86b7-7d16dd2fd7ea	Dumpster	netrunner-1996/classic/Netrunner1996-Classic-Dumpster.jpg	default	Ice	Classic	Classic	playerNDeck	corp	5	0	Code Gate-Deflector	5	Dumpster cannot be installed on the Archives. @ Runner is now encountering the outermost piece of rezzed ice on the Archives, instead of passing Dumpster. The run is now considered to be a run on the Archives. If there is no rezzed ice on the Archives, Runner is considered to have passed the last piece of ice on the Archives.		Rare	8
e0b42f06-6274-4976-937c-947c5002503d	Entrapment	netrunner-1996/classic/Netrunner1996-Classic-Entrapment.jpg	default	Ice	Classic	Classic	playerNDeck	corp	2	0	Code Gate-Deflector	4	@ If you pay [2], Runner is now encountering the outermost piece of rezzed ice on a data fort of your choice, instead of passing Entrapment. The run is now considered to be a run on that data fort. If there is no rezzed ice on that fort, Runner is considered to have passed the last piece of ice on that fort.		Common	9
19ea719d-a121-4ed1-b354-8c2d64e875ee	Glacier	netrunner-1996/classic/Netrunner1996-Classic-Glacier.jpg	default	Ice	Classic	Classic	playerNDeck	corp	0	0	Wall	5	Rezzing Glacier cost 1 agenda point, in addition to the normal cost. @ End the run. @ End the run. [1]: Move Glacier to the outermost position of any other data fort. Use this ability only at the start of a run. You may use this ability even if Glacier is unrezzed, in which case, you reveal it.		Rare	10
c3e0761e-aab9-488e-b0de-a4fe55c12f99	Imperial Guard	netrunner-1996/classic/Netrunner1996-Classic-ImperialGuard.jpg	default	Ice	Classic	Classic	playerNDeck	corp	10	0	Sentry-Killer-Sleepy	5	@ Trash a program. @ End the run. If Runner has used a noisy icebreaker during this run, the cost to rez Imperial Guard is reduced by [5].		Common	11
8b0a0ca5-d6d6-440f-8f81-4486d252a545	Indiscriminate Response Team	netrunner-1996/classic/Netrunner1996-Classic-IndiscriminateResponseTeam.jpg	default	Node	Classic	Classic	playerNDeck	corp	0	0	Black Ops	2	After Runner makes a successful run, you may have Runner shuffle his or her hand into his or her stack and then draw as many cards as he or she had before.	"But did you get him?"	Rare	12
