databaseId	name	imageUrl	cardBack	type	gold	set	number	rarity	text	lore	strength	strengthModifier	loadGroupId
02Kingdom_K001	Wyvern	wyvern/02kingdom/Wyvern-02Kingdom-Wyvern.jpg	default	Dragon	0	02Kingdom	1	Common-3	STRENGTH: 4 FLYING		4		playerNDragonLair
02Kingdom_K002	Amphiptere	wyvern/02kingdom/Wyvern-02Kingdom-Amphiptere.jpg	default	Dragon	0	02Kingdom	2	Common-1	STRENGTH: 0 FLYING SCOUT		0		playerNDragonLair
02Kingdom_K003	Lindwurm	wyvern/02kingdom/Wyvern-02Kingdom-Lindwurm.jpg	default	Dragon	1	02Kingdom	3	Uncommon-2	STRENGTH: 0 Loses one battle without dying.	The Lindwurm has seven skins making it hard to kill.	0		playerNDragonLair
02Kingdom_K004	Guivre	wyvern/02kingdom/Wyvern-02Kingdom-Guivre.jpg	default	Dragon	0	02Kingdom	4	Common-1	STRENGTH: 2		2		playerNDragonLair
02Kingdom_K005	Jormungandr	wyvern/02kingdom/Wyvern-02Kingdom-Jormungandr.jpg	default	Dragon	0	02Kingdom	5	Rare-1	STRENGTH: 7	The Jormungandr is a serpent that wraps himself around the world.	7		playerNDragonLair
02Kingdom_K006	Tarasque	wyvern/02kingdom/Wyvern-02Kingdom-Tarasque.jpg	default	Dragon	0	02Kingdom	6	Uncommon-2	STRENGTH: 3	Tarasque can only be killed by Holy Water.	3		playerNDragonLair
02Kingdom_K007	Vittra	wyvern/02kingdom/Wyvern-02Kingdom-Vittra.jpg	default	Dragon	1	02Kingdom	7	Uncommon-2	STRENGTH: 3 Flying dragons lose 2 strength for the rest of a battle that Vittra is part of.	Vittra is a dragon of India that creates storms instead of fire.	3		playerNDragonLair
02Kingdom_K008	Fafnir	wyvern/02kingdom/Wyvern-02Kingdom-Fafnir.jpg	default	Dragon	0	02Kingdom	8	Uncommon-2	STRENGTH: 2 Dwarven Armies cannot be used by either side in a battle that Fafnir is part of.	This Germanic Dragon was once a Dwarf.  Upon dying his blood grants both knowledge and invulnerability.	2		playerNDragonLair
02Kingdom_K009	Pakawjak	wyvern/02kingdom/Wyvern-02Kingdom-Pakawjak.jpg	default	Dragon	0	02Kingdom	9	Uncommon-2	STRENGTH: 2 Fire Breathing cannot be used by either side in a battle that Pakawjak is part of.	Pakawjak is an Arctic Dragon that breathes frost rather than fire.	2		playerNDragonLair
02Kingdom_K010	Moghur	wyvern/02kingdom/Wyvern-02Kingdom-Moghur.jpg	default	Dragon	2	02Kingdom	10	Uncommon-2	STRENGTH: 0 SCOUT If first card attacked is terrain, Moghur may then attack a second card one card away from the first card.	Moghur is a Dragon that can kill with a look.	0		playerNDragonLair
02Kingdom_K011	Tiamat	wyvern/02kingdom/Wyvern-02Kingdom-Tiamat.jpg	default	Dragon	0	02Kingdom	11	Uncommon-2	STRENGTH: 3 FLYING	Tiamat is one of the few female dragons.	3		playerNDragonLair
02Kingdom_K012	Colchis	wyvern/02kingdom/Wyvern-02Kingdom-Colchis.jpg	default	Dragon	0	02Kingdom	12	Common-1	STRENGTH: 1	Colchis is the Dragon that guards the Golden Fleece.	1		playerNDragonLair
02Kingdom_K013	Gryphon	wyvern/02kingdom/Wyvern-02Kingdom-Gryphon.jpg	default	Dragon	0	02Kingdom	13	Uncommon-2	STRENGTH: 1 FLYING		1		playerNDragonLair
02Kingdom_K014	Leviathan	wyvern/02kingdom/Wyvern-02Kingdom-Leviathan.jpg	default	Dragon	0	02Kingdom	14	Uncommon-2	STRENGTH: 5	Leviathan is one of the biggest dragons in the world.  He is a fire breathing sea serpent.	5		playerNDragonLair
02Kingdom_K015	Basilisk	wyvern/02kingdom/Wyvern-02Kingdom-Basilisk.jpg	default	Dragon	0	02Kingdom	15	Rare-1	STRENGTH: 3 Kills himself and one other dragon in battle.  No battle action cards are played in a battle that Basilisk is part of, and there is no winner or loser.		3		playerNDragonLair
02Kingdom_K016	Typhon	wyvern/02kingdom/Wyvern-02Kingdom-Typhon.jpg	default	Dragon	0	02Kingdom	16	Common-1	STRENGTH: 0 SCOUT		0		playerNDragonLair
02Kingdom_K017	Echidna	wyvern/02kingdom/Wyvern-02Kingdom-Echidna.jpg	default	Dragon	1	02Kingdom	17	Uncommon-2	STRENGTH: 3 If Echidna wins a battle you may turn any face up dragon face down.	Echidna dwells in the 'secret parts' of the earth underground.	3		playerNDragonLair
02Kingdom_K018	Chimera	wyvern/02kingdom/Wyvern-02Kingdom-Chimera.jpg	default	Dragon	1	02Kingdom	18	Uncommon-3	STRENGTH: 0 SCOUT Chimera attacks at 1 strength from face down.		0		playerNDragonLair
02Kingdom_K019	Azhi Dahaka	wyvern/02kingdom/Wyvern-02Kingdom-AzhiDahaka.jpg	default	Dragon	0	02Kingdom	19	Uncommon-2	STRENGTH: 2 FLYING	Azhi Dahaka breathes fire, poison and hypnotic gas.	2		playerNDragonLair
02Kingdom_K020	Mushussu	wyvern/02kingdom/Wyvern-02Kingdom-Mushussu.jpg	default	Dragon	0	02Kingdom	20	Uncommon-2	STRENGTH: 1 2 strength when attacking from face down.  0 strength when attacking from face up.		1		playerNDragonLair
02Kingdom_K021	Lung Wong	wyvern/02kingdom/Wyvern-02Kingdom-LungWong.jpg	default	Dragon	0	02Kingdom	21	Uncommon-2	STRENGTH: 2 Lung Wong defends at 3 strength from face up and attacks at 1 strength from face up.		2		playerNDragonLair
02Kingdom_K022	Kakutan	wyvern/02kingdom/Wyvern-02Kingdom-Kakutan.jpg	default	Dragon	0	02Kingdom	22	Uncommon-2	STRENGTH: 3 Kakutan defends at 4 strength from face down and attacks at 2 strength from face down.	Instead of flying, Kakutan runs like the wind.	3		playerNDragonLair
02Kingdom_K023	Scylla	wyvern/02kingdom/Wyvern-02Kingdom-Scylla.jpg	default	Dragon	0	02Kingdom	23	Uncommon-2	STRENGTH: 4 Scylla defends at 5 strength from face down and attacks at 3 strength from face up.		4		playerNDragonLair
02Kingdom_K024	Vouivre	wyvern/02kingdom/Wyvern-02Kingdom-Vouivre.jpg	default	Dragon	1	02Kingdom	24	Rare-1	STRENGTH: 2 Vouivre may get help from a dragon one card away in this battle.  Flyers may help Vouivre from anywhere in your battlefield.	Vouivre has a red carbuncle for an eye which when removed leaves him blind.	2		playerNDragonLair
02Kingdom_K025	Thuhan	wyvern/02kingdom/Wyvern-02Kingdom-Thuhan.jpg	default	Dragon	1	02Kingdom	25	Rare-1	STRENGTH: 1 Gains +1 strength with each won battle.		1		playerNDragonLair
02Kingdom_K026	Amphisbena	wyvern/02kingdom/Wyvern-02Kingdom-Amphisbena.jpg	default	Dragon	0	02Kingdom	26	Rare-1	STRENGTH: 6	Amphisbena loves the cold weather climates.	6		playerNDragonLair
02Kingdom_K027	Phrygian	wyvern/02kingdom/Wyvern-02Kingdom-Phrygian.jpg	default	Dragon	1	02Kingdom	27	Rare-1	STRENGTH: 3 Phrygian may get help from a dragon one card away in this battle.  Flyers may help Phrygian from anywhere in your battlefield.		3		playerNDragonLair
02Kingdom_K028	Cynoprosopi	wyvern/02kingdom/Wyvern-02Kingdom-Cynoprosopi.jpg	default	Dragon	1	02Kingdom	28	Rare-1	STRENGTH: 4 Cynoprosopi may get help from a dragon one card away in this battle.  Flyers may help Cynoprosopi from anywhere in your battlefield.	Cynoprosopi lives in the Sahara Desert.	4		playerNDragonLair
02Kingdom_K029	Draco	wyvern/02kingdom/Wyvern-02Kingdom-Draco.jpg	default	Dragon	2	02Kingdom	29	Rare-1	STRENGTH: 3 Once Draco attacks he must continue to attack during that same turn until he dies or discovers terrain.	Draco has a tail that can kill with one swipe.	3		playerNDragonLair
02Kingdom_K030	Shapeshifter	wyvern/02kingdom/Wyvern-02Kingdom-Shapeshifter.jpg	default	Dragon	0	02Kingdom	30	Rare-1	STRENGTH: 3 Shapeshifter takes on the base strength of one dragon attacking it or defending against it.		3		playerNDragonLair
02Kingdom_K031	Moat	wyvern/02kingdom/Wyvern-02Kingdom-Moat.jpg	default	Terrain	2	02Kingdom	31	Uncommon-1	STRENGTH MODIFIER: -2 Does not affect flying dragons.			-2	playerNTreasureHorde
02Kingdom_K032	Vines	wyvern/02kingdom/Wyvern-02Kingdom-Vines.jpg	default	Terrain	2	02Kingdom	32	Uncommon-1	No battle action cards can be played in a battle this dragon is part of.  Vines affect flying dragons only.				playerNTreasureHorde
02Kingdom_K033	Coral Reef	wyvern/02kingdom/Wyvern-02Kingdom-CoralReef.jpg	default	Terrain	2	02Kingdom	33	Common-1	STRENGTH MODIFIER: -1			-1	playerNTreasureHorde
02Kingdom_K034	Swamp	wyvern/02kingdom/Wyvern-02Kingdom-Swamp.jpg	default	Terrain	2	02Kingdom	34	Common-1	STRENGTH MODIFIER: -1			-1	playerNTreasureHorde
02Kingdom_K035	Frozen Lake	wyvern/02kingdom/Wyvern-02Kingdom-FrozenLake.jpg	default	Terrain	0	02Kingdom	35	Uncommon-1	Kills dragons of 4 or more strength.  Has no effect on any other dragons.	Big Dragons are on thin ice.			playerNTreasureHorde
02Kingdom_K036	Pit	wyvern/02kingdom/Wyvern-02Kingdom-Pit.jpg	default	Terrain	0	02Kingdom	36	Uncommon-1	Kills dragons of 3 or less strength.				playerNTreasureHorde
02Kingdom_K037	Cliff	wyvern/02kingdom/Wyvern-02Kingdom-Cliff.jpg	default	Terrain	1	02Kingdom	37	Uncommon-1	STRENGTH MODIFIER: -2			-2	playerNTreasureHorde
02Kingdom_K038	Crevice	wyvern/02kingdom/Wyvern-02Kingdom-Crevice.jpg	default	Terrain	2	02Kingdom	38	Uncommon-1	No battle action cards can be played in a battle this dragon is part of.  The Crevice does not affect flying dragons.				playerNTreasureHorde
02Kingdom_K039	Wall	wyvern/02kingdom/Wyvern-02Kingdom-Wall.jpg	default	Terrain	1	02Kingdom	39	Uncommon-1	Dragon cannot get any help from other dragons during attack and defense for the rest of the game.				playerNTreasureHorde
02Kingdom_K040	Desert	wyvern/02kingdom/Wyvern-02Kingdom-Desert.jpg	default	Terrain	2	02Kingdom	40	Common-1	STRENGTH MODIFIER: -1			-1	playerNTreasureHorde
02Kingdom_K041	Cave	wyvern/02kingdom/Wyvern-02Kingdom-Cave.jpg	default	Terrain	1	02Kingdom	41	Common-1	Dragon can only attack face down cards for the rest of the game.  If there are no face down cards to attack he attacks a face up card he could normally attack at -1 strength.				playerNTreasureHorde
02Kingdom_K042	Clouds	wyvern/02kingdom/Wyvern-02Kingdom-Clouds.jpg	default	Terrain	2	02Kingdom	42	Uncommon-1	STRENGTH MODIFIER: -2 This card affects flyers only.			-2	playerNTreasureHorde
02Kingdom_K043	Forest	wyvern/02kingdom/Wyvern-02Kingdom-Forest.jpg	default	Terrain	2	02Kingdom	43	Common-1	STRENGTH MODIFIER: -1			-1	playerNTreasureHorde
02Kingdom_K044	Swamp Hole	wyvern/02kingdom/Wyvern-02Kingdom-SwampHole.jpg	default	Terrain	1	02Kingdom	44	Uncommon-1	Kills dragons of 2 or less strength.				playerNTreasureHorde
02Kingdom_K045	Tunnel	wyvern/02kingdom/Wyvern-02Kingdom-Tunnel.jpg	default	Terrain	2	02Kingdom	45	Uncommon-1	Dragon can only attack cards in a direct line across from the dragon's card.  If there are no cards there to attack he may attack any card he could normally attack at -1 strength.				playerNTreasureHorde
02Kingdom_K046	Quicksand	wyvern/02kingdom/Wyvern-02Kingdom-Quicksand.jpg	default	Terrain	0	02Kingdom	46	Rare-1	Quicksand causes dragon to lose one strength immediately and one strength during each of dragon owner's draw phases.				playerNTreasureHorde
02Kingdom_K047	River	wyvern/02kingdom/Wyvern-02Kingdom-River.jpg	default	Terrain	2	02Kingdom	47	Common-1	STRENGTH MODIFIER: -1			-1	playerNTreasureHorde
02Kingdom_K048	Ocean	wyvern/02kingdom/Wyvern-02Kingdom-Ocean.jpg	default	Terrain	2	02Kingdom	48	Common-1	STRENGTH MODIFIER: -1			-1	playerNTreasureHorde
02Kingdom_K049	Lake	wyvern/02kingdom/Wyvern-02Kingdom-Lake.jpg	default	Terrain	2	02Kingdom	49	Common-1	STRENGTH MODIFIER: -1			-1	playerNTreasureHorde
02Kingdom_K050	Mansion in the Sky	wyvern/02kingdom/Wyvern-02Kingdom-MansionInTheSky.jpg	default	Treasure	1	02Kingdom	50	Uncommon-1	All face up flying dragons in this row are in the Mansion in the Sky.  Non-flying dragons lose two strength for the rest of a battle with a dragon in the Mansion.				playerNTreasureHorde
02Kingdom_K051	Golden Fleece	wyvern/02kingdom/Wyvern-02Kingdom-GoldenFleece.jpg	default	Treasure	3	02Kingdom	51	Rare-2	Dragons in this row gain +2 strength when attacking.				playerNTreasureHorde
02Kingdom_K052	Golden Apples	wyvern/02kingdom/Wyvern-02Kingdom-GoldenApples.jpg	default	Treasure	0	02Kingdom	52	Common-1	Dragons in this row can't be killed by terrain.				playerNTreasureHorde
02Kingdom_K053	Pearl	wyvern/02kingdom/Wyvern-02Kingdom-Pearl.jpg	default	Treasure	0	02Kingdom	53	Common-1	When a dragon in this row wins a battle, draw one card from your treasure horde draw pile.				playerNTreasureHorde
02Kingdom_K054	Jewels	wyvern/02kingdom/Wyvern-02Kingdom-Jewels.jpg	default	Treasure	2	02Kingdom	54	Common-1	Dragons in this row gain +1 strength when defending.				playerNTreasureHorde
02Kingdom_K055	Dragon Egg	wyvern/02kingdom/Wyvern-02Kingdom-DragonEgg.jpg	default	Treasure	0	02Kingdom	55	Rare-1	Action: Pay 3 gold pieces to hatch the Dragon Egg.  It becomes a two strength dragon.  Replace a card in your battlefield with Egg.  Egg starts face up.				playerNTreasureHorde
02Kingdom_K056	Sword	wyvern/02kingdom/Wyvern-02Kingdom-Sword.jpg	default	Treasure	2	02Kingdom	56	Common-1	Dragons in this row gain +1 strength when attacking.				playerNTreasureHorde
02Kingdom_K057	Gold	wyvern/02kingdom/Wyvern-02Kingdom-Gold.jpg	default	Treasure	0	02Kingdom	57	Common-1	When a dragon in this row wins a battle you get a gold piece.				playerNTreasureHorde
