databaseId	name	imageUrl	cardBack	type	subtype	faction	unique	cost	terror	combat	arcane	investigation	skill	text	errata	restricted	cycle	packName	set	edition	loadGroupId
Core_Core001	Thomas F. Malone, Haunted Police Detective	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ThomasFMaloneHauntedPoliceDetective.jpg	default	Character	Investigator	Agency	*	4		2			5	Heroic. Response: After resolving a story to which Thomas F. Malone is committed, choose and destroy an opponent's Villainous or Cultist character that was committed to that story.			Core	Core	Core	LCG	playerNDeck
Core_Core002	Kirby O'Donnell, Adventurer Abroad	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-KirbyODonnellAdventurerAbroad.jpg	default	Character	Investigator	Agency	*	3		1		1	2	Heroic. While Kirby O'Donnell is committed to a story, each Heroic character gains C and each Villainous character loses T.			Core	Core	Core	LCG	playerNDeck
Core_Core003	Local Sheriff	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-LocalSheriff.jpg	default	Character	Investigator	Agency		4		1		1	4	Willpower. Action: Pay 1 to return Local Sheriff to your hand if it entered your discard pile this phase.			Core	Core	Core	LCG	playerNDeck
Core_Core004	Paul LeMond, Tormented Psychic	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-PaulLeMondTormentedPsychic.jpg	default	Character	Government	Agency	*	1					1	Action: Pay 1 to choose a character. Until the end of the phase, Paul LeMond gains all of that character's printed icons.			Core	Core	Core	LCG	playerNDeck
Core_Core005	Professor Hermann Mulder, Bureau Consultant	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ProfessorHermannMulderBureauConsultant.jpg	default	Character	Government	Agency	*	1		2	1		4	Professor Hermann Mulder goes insane at any time there are 6 or more characters in play.			Core	Core	Core	LCG	playerNDeck
Core_Core006	Monster Hunter	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-MonsterHunter.jpg	default	Character	Sorcerer	Agency		3		1	1		2	Response: After you win an icon struggle by at least 2 icons, pay 2 to choose and wound a character with skill 2 or lower.			Core	Core	Core	LCG	playerNDeck
Core_Core007	Undercover Security	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-UndercoverSecurity.jpg	default	Character	Investigator	Agency		2		1		1	2	Heroic. Willpower.			Core	Core	Core	LCG	playerNDeck
Core_Core008	Hired Muscle	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-HiredMuscle.jpg	default	Character	Criminal	Agency		3		3			3	Toughness +1.			Core	Core	Core	LCG	playerNDeck
Core_Core009	Freelance Occultist	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-FreelanceOccultist.jpg	default	Character	Investigator	Agency		3		1	1		2	Fast.			Core	Core	Core	LCG	playerNDeck
Core_Core010	Blackwood File Clerk	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-BlackwoodFileClerk.jpg	default	Character	Investigator	Agency		2				1	3				Core	Core	Core	LCG	playerNDeck
Core_Core011	Peeler	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Peeler.jpg	default	Character	Investigator	Agency		2		2			1	Peeler gains Willpower while there is at least 1 Attachment card in play.			Core	Core	Core	LCG	playerNDeck
Core_Core012	T-Men	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-TMen.jpg	default	Character	Government	Agency		5		3			3	Forced Response: After T-Men enters play, choose and wound a character.			Core	Core	Core	LCG	playerNDeck
Core_Core013	G-Men	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-GMen.jpg	default	Character	Government	Agency		6		4			6	Heroic. Toughness +3. Willpower.			Core	Core	Core	LCG	playerNDeck
Core_Core014	Shotgun	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Shotgun.jpg	default	Support	Attachment. Weapon	Agency		1						Attach to a character. While attached character is committed to a story, it gains "Action: Pay 1 to choose and wound a character committed to this story."			Core	Core	Core	LCG	playerNDeck
Core_Core015	Patrol Wagon	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-PatrolWagon.jpg	default	Support	Attachment. Vehicle	Agency		1						Attach to a character. Attached character gains Toughness +1. Disrupt: Pay 2 to cancel 1 wound to attached character.			Core	Core	Core	LCG	playerNDeck
Core_Core016	Shotgun Blast	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ShotgunBlast.jpg	default	Event		Agency		X						Action: Choose and wound a character with skill X or lower.			Core	Core	Core	LCG	playerNDeck
Core_Core017	Short Fuse	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ShortFuse.jpg	default	Event		Agency		3						Play during your operations phase. Action: Choose a character. Give that character 7 wounds.			Core	Core	Core	LCG	playerNDeck
Core_Core018	Torch the Joint!	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-TorchTheJoint.jpg	default	Event		Agency		2						Play during your operations phase. Action: Choose and destroy a non-[Agency] resource or a Location support card.			Core	Core	Core	LCG	playerNDeck
Core_Core019	Small Price to Pay	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-SmallPriceToPay.jpg	default	Event		Agency		1						Action: Choose a character you control and a character an opponent controls. Choose one of those characters to go insane, then wound the other character.			Core	Core	Core	LCG	playerNDeck
Core_Core020	Working a Hunch	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-WorkingAHunch.jpg	default	Event		Agency		1						Action: Choose a character. Until the end of the phase, that character gains CC. If you overpaid for Working a Hunch, the chosen character also gains AI.			Core	Core	Core	LCG	playerNDeck
Core_Core021	Professor Albert Wilmarth, Folklore Expert	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ProfessorAlbertWilmarthFolkloreExpert.jpg	default	Character	Investigator	Miskatonic University	*	5		2		1	4	Heroic. While Professor Albert Wilmarth is committed to a story, that story card loses an icon struggle of your choice.			Core	Core	Core	LCG	playerNDeck
Core_Core022	Dr. Ali Kafour, Middle Eastern Scholar	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-DrAliKafourMiddleEasternScholar.jpg	default	Character	Investigator	Miskatonic University	*	4		1	1	1	3	Heroic. Response: After you commit Dr. Ali Kafour to a story, draw a card.			Core	Core	Core	LCG	playerNDeck
Core_Core023	Steve Clarney, Soldier of Fortune	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-SteveClarneySoldierOfFortune.jpg	default	Character	Investigator	Agency	*	3		2		1	2	Heroic. Willpower. While Steve Clarney is committed to a story, all characters lose all Toughness.			Core	Core	Core	LCG	playerNDeck
Core_Core024	Professor Nathaniel Peaslee, Scholar of the Arcane	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ProfessorNathanielPeasleeScholarOfTheArcane.jpg	default	Character	Investigator	Miskatonic University	*	4		2	1	1	3	Response: After Professor Nathaniel Peaslee enters your discard pile from play, pay 2 to put into play all characters that entered a discard pile this phase.			Core	Core	Core	LCG	playerNDeck
Core_Core025	Anthropology Advisor	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-AnthropologyAdvisor.jpg	default	Character	Investigator	Miskatonic University		3		1	1	1	3	Lower the cost for you to play Investigator characters by 1. Investigator characters you control gain I.			Core	Core	Core	LCG	playerNDeck
Core_Core026	Visiting Author	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-VisitingAuthor.jpg	default	Character	Investigator	Miskatonic University		3		1		2	3	Action: Pay 1 to return Visiting Author to your hand if it entered your discard pile this phase.			Core	Core	Core	LCG	playerNDeck
Core_Core027	Mad Genius	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-MadGenius.jpg	default	Character	Investigator	Miskatonic University		2					2	Response: After Mad Genius is restored, choose a story card. Put 1 success token on that story card.			Core	Core	Core	LCG	playerNDeck
Core_Core028	Strange Librarian	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-StrangeLibrarian.jpg	default	Character	Investigator	Miskatonic University		2			1		1	Action: Exhaust Strange Librarian to look at the top 3 cards of any player�s deck. Put one of those cards on the bottom of his deck, and the other two back on top in any order.			Core	Core	Core	LCG	playerNDeck
Core_Core029	Laboratory Assistant	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-LaboratoryAssistant.jpg	default	Character	Scientist	Miskatonic University		1				1	1				Core	Core	Core	LCG	playerNDeck
Core_Core030-R	Itinerant Scholar	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ItinerantScholar.jpg	default	Character	Messenger	Miskatonic University		2			2		1	Action: Sacrifice Itinerant Scholar to move a drain token from one of your domains to an undrained domain.		R	Core	Core	Core	LCG	playerNDeck
Core_Core031	Natural Philosopher	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-NaturalPhilosopher.jpg	default	Character	Investigator	Miskatonic University		3			1	1	3	Forced Response: After Natural Philosopher enters play, draw a card. Then, each player chooses and discards a card from his hand.			Core	Core	Core	LCG	playerNDeck
Core_Core032	Student Archaeologist	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-StudentArchaeologist.jpg	default	Character	Investigator	Miskatonic University		2				1	2	Response: After Student Archaeologist is restored, draw a card. Then, each player chooses and discards a card from his hand.			Core	Core	Core	LCG	playerNDeck
Core_Core033	Celano Fragments, The Life's Work of Dr. Shrewsbury	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-CelanoFragmentsTheLifesWorkOfDrShrewsbury.jpg	default	Support	Tome	Miskatonic University		3						Action: Exhaust and pay X to choose a committed character with cost X or lower. Remove that character from the story.			Core	Core	Core	LCG	playerNDeck
Core_Core034	Open for Inspection	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-OpenForInspection.jpg	default	Support	Attachment. Environment	Miskatonic University		2						Attach to a story card. Attached story gains:			Core	Core	Core	LCG	playerNDeck
Core_Core035	Atwood Science Hall	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-AtwoodScienceHall.jpg	default	Support	Location	Miskatonic University		1						Characters you control get +1 skill for each I icon they have.			Core	Core	Core	LCG	playerNDeck
Core_Core036	Binding	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-Binding.jpg	default	Event	Spell	Miskatonic University		1						Action: Choose a character. Until the end of the phase, that character loses all of its printed icons.			Core	Core	Core	LCG	playerNDeck
Core_Core037	Feast of Famine	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-FeastOfFamine.jpg	default	Event		Miskatonic University		3						Action: Draw 2 cards. Then, each player must choose and discard a card from his hand.			Core	Core	Core	LCG	playerNDeck
Core_Core038	Restless and Wary	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-RestlessAndWary.jpg	default	Event		Miskatonic University		2						Action: Ready all exhausted characters.			Core	Core	Core	LCG	playerNDeck
Core_Core039	Dr. Carson's Treatment	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-DrCarsonsTreatment.jpg	default	Event		Miskatonic University		1						Action: Choose up to 2 insane characters. Restore and ready those characters. If you overpaid for Dr. Carson's Treatment, those characters gain CC until the end of the phase.			Core	Core	Core	LCG	playerNDeck
Core_Core040	Unearthing the Ancients	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-UnearthingTheAncients.jpg	default	Event	Research	Miskatonic University		3						Play during your operations phase. Action: Draw 3 cards.			Core	Core	Core	LCG	playerNDeck
Core_Core041	Cthulhu, The Great Old One	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-CthulhuTheGreatOldOne.jpg	default	Character	Ancient One	Cthulhu	*	6	2	2	1		8	Villainous. Invulnerability. Forced Response: After a player draws cards during his draw phase, he must sacrifice a character, if able.			Core	Core	Core	LCG	playerNDeck
Core_Core042	Dagon, Father of the Deep	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-DagonFatherOfTheDeep.jpg	default	Character	Ancient One	Cthulhu	*	5	2		2		5	Villainous. Invulnerability. Disrupt: Pay 1 and sacrifice a Deep One character to cancel the effects of an event card that would destroy Dagon.			Core	Core	Core	LCG	playerNDeck
Core_Core043	Keeper of the Golden Path	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-KeeperOfTheGoldenPath.jpg	default	Character	Cultist	Cthulhu		2	2				3	Villainous.			Core	Core	Core	LCG	playerNDeck
Core_Core044	Guardian Shoggoth	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-GuardianShoggoth.jpg	default	Character	Monster	Cthulhu		3	1	1			2	Toughness +2.			Core	Core	Core	LCG	playerNDeck
Core_Core045	Shadow-spawned Hunting Horror	call-of-cthulhu-lcg/core/CallOfCthulhuLcg-Core-ShadowSpawnedHuntingHorror.jpg	default	Character	Servitor	Cthulhu		4		2	1		3	While Shadow-spawned Hunting Horror is committed to a story, each committed character loses an I icon.			Core	Core	Core	LCG	playerNDeck
